time,open,high,low,close,Volume,Volume MA
2016-01-04T14:30:00Z,27.25,28.16,27.03,28.08,28700,NaN
2016-01-04T15:30:00Z,28.09,28.22,27.43,27.55,76251,NaN
2016-01-04T16:30:00Z,27.49,27.55,27.36,27.52,47088,NaN
2016-01-04T17:30:00Z,27.52,28.11,27.43,28.09,111083,NaN
2016-01-04T18:30:00Z,28.11,28.45,28.06,28.32,74960,NaN
2016-01-04T19:30:00Z,28.32,28.32,28.02,28.1,86396,NaN
2016-01-04T20:30:00Z,28.1,28.36,28.075,28.32,75550,NaN
2016-01-05T14:30:00Z,28.31,28.71,28.06,28.59,26369,NaN
2016-01-05T15:30:00Z,28.63,28.63,28.38,28.46,37002,NaN
2016-01-05T16:30:00Z,28.49,28.59,28.455,28.56,12969,NaN
2016-01-05T17:30:00Z,28.51,28.73,28.49,28.66,15366,NaN
2016-01-05T18:30:00Z,28.69,28.8,28.58,28.8,17200,NaN
2016-01-05T19:30:00Z,28.8,28.89,28.71,28.79,25750,NaN
2016-01-05T20:30:00Z,28.8,28.82,28.725,28.8,25769,NaN
2016-01-06T14:30:00Z,28.21,28.67,27.44,28.5,19818,NaN
2016-01-06T15:30:00Z,28.52,28.62,28.3,28.62,17733,NaN
2016-01-06T16:30:00Z,28.59,28.72,28.28,28.44,71965,NaN
2016-01-06T17:30:00Z,28.41,28.48,28.31,28.4,16008,NaN
2016-01-06T18:30:00Z,28.41,28.46,28.25,28.29,26523,NaN
2016-01-06T19:30:00Z,28.29,28.34,28.06,28.33,40664,42658.2
2016-01-06T20:30:00Z,28.325,28.39,28.24,28.35,32156,42831
2016-01-07T14:30:00Z,27.865,28.75,27.84,28.35,26110,40323.95
2016-01-07T15:30:00Z,28.36,28.615,28.21,28.46,38779,39908.5
2016-01-07T16:30:00Z,28.49,28.68,28.4,28.4,18978,35303.25
2016-01-07T17:30:00Z,28.42,28.57,28.23,28.26,20970,32603.75
2016-01-07T18:30:00Z,28.23,28.44,28.13,28.31,34613,30014.6
2016-01-07T19:30:00Z,28.33,28.55,28.26,28.28,47007,28587.45
2016-01-07T20:30:00Z,28.3,28.525,28.3,28.445,35991,29068.55
2016-01-08T14:30:00Z,28.7,28.75,28.29,28.31,30347,28735.8
2016-01-08T15:30:00Z,28.31,28.43,28.05,28.095,15491,28861.9
2016-01-08T16:30:00Z,28.09,28.44,28.06,28.44,11154,28651.3
2016-01-08T17:30:00Z,28.44,28.51,28.23,28.27,9050,28243.8
2016-01-08T18:30:00Z,28.29,28.48,28.26,28.39,16099,27761.25
2016-01-08T19:30:00Z,28.37,28.51,28.31,28.46,27475,27846.55
2016-01-08T20:30:00Z,28.46,28.525,28.33,28.39,48225,29266.9
2016-01-11T14:30:00Z,28.24,28.49,28.05,28.27,18554,29307.95
2016-01-11T15:30:00Z,28.29,28.4,27.99,28.4,23778,26898.6
2016-01-11T16:30:00Z,28.36,28.53,28.36,28.4,11400,26668.2
2016-01-11T17:30:00Z,28.405,28.51,28.35,28.45,17200,26202.05
2016-01-11T18:30:00Z,28.45,28.63,28.29,28.56,16400,24988.85
2016-01-11T19:30:00Z,28.55,29.31,28.44,29.31,41026,25432.35
2016-01-11T20:30:00Z,29.3,29.54,29.27,29.36,33310,25792.35
2016-01-12T14:30:00Z,28.95,29.12,26.305,27.405,164408,32073.8
2016-01-12T15:30:00Z,27.38,28.18,27.28,27.68,108232,36536.5
2016-01-12T16:30:00Z,27.685,27.84,27.45,27.73,32995,37137.75
