time,open,high,low,close,Volume,Volume MA,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Bollinger Bands %B,Bollinger Bands Width,ROC,K,D,RVI,RVI-based MA,Upper Bollinger Band,Lower Bollinger Band
2011-08-18T00:00:00Z,10.9,10.9,10.9,10.9,0.48990826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-19T00:00:00Z,11.85,11.85,11.15,11.69,1.92657814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-20T00:00:00Z,11.7,11.7,11.7,11.7,0.08547009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-21T00:00:00Z,11.7,11.7,11.7,11.7,0.08547009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-22T00:00:00Z,11.7,11.7,11.7,11.7,0.02863249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-24T00:00:00Z,11.5,11.5,10.5,10.5,2.35652174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-25T00:00:00Z,10,10,10,10,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-30T00:00:00Z,8,8,8,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-01T00:00:00Z,8,8.31,5.25,8.22,164.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-02T00:00:00Z,8.12,8.88,8,8.88,79.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.532110091743114,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-04T00:00:00Z,8.89,8.89,8.89,8.89,0.20022497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.952095808383223,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-06T00:00:00Z,8,8,8,8,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.62393162393162,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-07T00:00:00Z,8.5,8.5,8.5,8.5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.350427350427346,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-08T00:00:00Z,7.98,7.98,7.4,7.4,6.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.75213675213674,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-13T00:00:00Z,5.8,6,5.65,5.97,58.37138238,NaN,NaN,NaN,NaN,23.523093447905467,NaN,NaN,NaN,NaN,NaN,-43.142857142857146,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-14T00:00:00Z,5.58,5.72,5.52,5.53,61.14598362,NaN,NaN,NaN,NaN,22.383835207170378,NaN,NaN,NaN,NaN,NaN,-44.7,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-15T00:00:00Z,5.12,5.24,5,5.13,80.1407952,NaN,NaN,NaN,NaN,21.37054166883196,NaN,NaN,NaN,NaN,NaN,-35.875,NaN,NaN,NaN,NaN,NaN,NaN
2011-09-16T00:00:00Z,4.82,4.87,4.8,4.85,39.9140068,NaN,NaN,NaN,NaN,20.66532002613107,NaN,NaN,NaN,NaN,NaN,-40.99756690997568,0,NaN,NaN,NaN,NaN,NaN
2011-09-17T00:00:00Z,4.87,4.87,4.87,4.87,0.3,NaN,NaN,NaN,NaN,20.866196367806225,NaN,NaN,NaN,NaN,NaN,-45.15765765765766,2.3430402161417727,NaN,NaN,NaN,NaN,NaN
2011-09-18T00:00:00Z,4.87,4.92,4.81,4.92,119.8128,32.102888689000004,NaN,NaN,NaN,21.401995405010936,NaN,NaN,NaN,0.1489218338189865,1.1735584709884144,-44.65691788526435,10.935689925724219,4.426243380621997,51.70986312354158,NaN,NaN,NaN
2011-09-19T00:00:00Z,4.9,4.9,4.9,4.9,20,33.078393276,NaN,NaN,NaN,21.339754773993207,NaN,NaN,NaN,0.18241604110152146,1.2362863987593116,-38.74999999999999,18.80235916226314,10.693696434709713,44.07479724018552,NaN,NaN,NaN
2011-09-20T00:00:00Z,4.92,5.66,4.92,5.66,89.28071068,37.446099903000004,NaN,NaN,NaN,29.70558112149284,NaN,NaN,NaN,0.2806248857420984,1.2361569662630316,-33.411764705882355,49.7926522794547,26.510233789147353,51.297761631908635,NaN,NaN,NaN
2011-09-21T00:00:00Z,5.7,5.79,5.66,5.66,17.62932238,38.32329251750001,NaN,NaN,NaN,29.70558112149284,NaN,NaN,NaN,0.3006206748075847,1.2122293107243953,-23.513513513513516,74.53333590320558,47.70944911497448,46.86887992068997,NaN,NaN,NaN
2011-09-22T00:00:00Z,5.68,5.72,5.68,5.72,43.77842238,40.50794013200001,NaN,NaN,NaN,30.383492318911863,NaN,NaN,NaN,0.32542859210006697,1.1552568116452895,-4.1876046901172534,100,74.7753293942201,49.61268368259532,NaN,NaN,NaN
2011-09-23T00:00:00Z,5.7,5.72,5.7,5.72,20.68003681,41.54051034800001,NaN,NaN,NaN,30.383492318911863,NaN,NaN,NaN,0.34153882251274126,1.0533142017947894,3.435804701627477,100,91.51111196773519,47.046733228808215,NaN,NaN,NaN
2011-09-24T00:00:00Z,5.7,5.76,5.68,5.68,90.58706633,45.952037577500015,NaN,-1.712751762473344,NaN,30.158617154258977,NaN,NaN,NaN,0.3540683504393985,0.9774542387717418,10.721247563352824,99.22867813042056,99.7428927101402,44.31707854205193,NaN,NaN,NaN
2011-09-25T00:00:00Z,6.05,6.05,6.05,6.05,12.22,46.50803757750002,NaN,-1.5823788198355428,NaN,34.954283107138565,NaN,NaN,NaN,0.43374310823177825,0.8864287068605446,24.742268041237118,99.22867813042056,99.48578542028038,48.25250255371946,NaN,NaN,NaN
2011-09-26T00:00:00Z,6.06,6.06,4.8,4.8,39.57846334,48.43696074450001,NaN,-1.5619170691097946,NaN,27.967429820851507,26.057800989993407,NaN,NaN,0.2413587504142914,0.9052863611937951,-1.437371663244359,82.92972709929501,93.7956944533787,44.56387699862552,NaN,NaN,NaN
